T2_FIBER                                                         : Cotton
 796: T6_LEATHER_LEVEL2@2                                              : Rare Hardened Leather
 797: T7_LEATHER_LEVEL2@2                                              : Rare Reinforced Leather
 798: T8_LEATHER_LEVEL2@2                                              : Rare Fortified Leather
 799: T4_LEATHER_LEVEL3@3                                              : Exceptional Worked Leather
 800: T5_LEATHER_LEVEL3@3                                              : Exceptional Cured Leather
 801: T6_LEATHER_LEVEL3@3                                              : Exceptional Hardened Leather
 802: T7_LEATHER_LEVEL3@3                                              : Exceptional Reinforced Leather
 803: T8_LEATHER_LEVEL3@3                                              : Exceptional Fortified Leather
 804: T2_CLOTH                                                         : Simple Cloth
 805: T3_CLOTH                                                         : Neat Cloth
 806: T4_CLOTH                                                         : Fine Cloth
 807: T5_CLOTH                                                         : Ornate Cloth
 808: T6_CLOTH                                                         : Lavish Cloth
 809: T7_CLOTH                                                         : Opulent Cloth
 810: T8_CLOTH                                                         : Baroque Cloth
 811: T4_CLOTH_LEVEL1@1                                                : Uncommon Fine Cloth
 812: T5_CLOTH_LEVEL1@1                                                : Uncommon Ornate Cloth
 813: T6_CLOTH_LEVEL1@1                                                : Uncommon Lavish Cloth
 814: T7_CLOTH_LEVEL1@1                                                : Uncommon Opulent Cloth
 815: T8_CLOTH_LEVEL1@1                                                : Uncommon Baroque Cloth
 816: T4_CLOTH_LEVEL2@2                                                : Rare Fine Cloth
 817: T5_CLOTH_LEVEL2@2                                                : Rare Ornate Cloth
 818: T6_CLOTH_LEVEL2@2                                                : Rare Lavish Cloth
 819: T7_CLOTH_LEVEL2@2                                                : Rare Opulent Cloth
 820: T8_CLOTH_LEVEL2@2                                                : Rare Baroque Cloth
 821: T4_CLOTH_LEVEL3@3                                                : Exceptional Fine Cloth
 822: T5_CLOTH_LEVEL3@3                                                : Exceptional Ornate Cloth
 823: T6_CLOTH_LEVEL3@3                                                : Exceptional Lavish Cloth
 824: T7_CLOTH_LEVEL3@3                                                : Exceptional Opulent Cloth
 825: T8_CLOTH_LEVEL3@3                                                : Exceptional Baroque Cloth
